page,priority,content
12,0.30952380952380953,"•  Building a more diverse talent pipeline for the aviation industry."
12,0.7619047619047619,"Our mission is accomplished with a combined effort from crewmembers, and our nonprofit partnerships and"
12,0.4761904761904762,"business partners. From these resources, we provide grants to qualified education organizations in our BlueCities."
12,0.28571428571428575,"25"
13,0.052631578947368425,""
13,0.13157894736842105,""
13,0.13157894736842105,""
13,0.13157894736842105,""
13,0.13157894736842105,""
13,0.13157894736842105,""
13,0.5526315789473685,""
13,0.5526315789473685,""
13,0.4210526315789474,""
13,0.5526315789473685,""
13,0.6578947368421052,""
13,0.5526315789473685,""
13,0.5526315789473685,""
13,0.5526315789473685,""
13,0.5526315789473685,""
13,0.8684210526315789,"The time to create a"
13,0.8947368421052632,"better tomorrow for"
13,0.6842105263157895,"aviation is today."
13,0.7105263157894737,"As the only airline to"
13,0.7894736842105263,"go on record to solely"
13,0.9210526315789473,"focus on supporting"
13,0.8421052631578948,"aviation education, the"
13,0.763157894736842,"future of our industry is"
13,0.8157894736842105,"a responsibility we take"
13,0.736842105263158,"very seriously."
13,0.9736842105263157,"$800K"
13,0.2894736842105263,"IN GRANTS"
13,0.2368421052631579,"2018-2019"
13,0.9473684210526316,"$1.7M"
13,0.34210526315789475,"IN GRANTS FUNDED"
13,0.39473684210526316,"THROUGH DONATIONS"
13,0.4473684210526316,"FROM CREWMEMBERS"
13,0.368421052631579,"AND BUSINESS PARTNERS"
13,0.3157894736842105,"AND IN-KIND SUPPORT"
13,0.2631578947368421,"SINCE 2013"
13,1.0,"27 26"
13,0.026315789473684213,"J E T B L  U E  S O  C I A L  I M P  A  C  T  R E P  O R  T"
13,0.2105263157894737,"27"
14,0.4722222222222222,"28"
14,1.0,"J E T B L U E  S O C I A L  I M P A C T  R E P O R T. 2 0 1 8  +  2 0 1 9"
14,0.027777777777777776,""
14,0.2638888888888889,""
14,0.2638888888888889,""
14,0.375,""
14,0.375,""
14,0.375,""
14,0.375,""
14,0.375,""
14,0.375,""
14,0.2222222222222222,""
14,0.1388888888888889,""
14,0.1388888888888889,""
14,0.1388888888888889,""
14,0.1388888888888889,""
14,0.1388888888888889,""
14,0.05555555555555555,""
14,0.9166666666666667,"Aviation Career Exploration (ACE) Academy"
14,0.7777777777777777,"The JetBlue Foundation prepares the future talent"
14,0.6388888888888888,"pipeline of aviation by supporting the Organization of"
14,0.8611111111111112,"Black Aerospace Professionals (OBAP) and its ACE"
14,0.8888888888888888,"Academy. This program gives students ages 14-18,"
14,0.8333333333333333,"from traditionally underrepresented backgrounds,"
14,0.8055555555555556,"hands-on experience and the opportunity to learn"
14,0.6111111111111112,"directly from JetBlue pilots and other aviation"
14,0.6666666666666667,"professionals."
14,0.9722222222222223,"Each summer, the JetBlue Foundation and OBAP"
14,0.9444444444444444,"hosted seven ACE Academy programs within"
14,0.7222222222222223,"JetBlue’s network. In total, more than 300 students"
14,0.75,"participated in the programs. For many, ACE is the"
14,0.5277777777777778,"beginning of a lifelong love for aviation. Our future"
14,0.5833333333333334,"will be built by the brightest and most diverse"
14,0.6944444444444444,"students of today and we can’t wait to see how"
14,0.5555555555555556,"high they soar."
14,0.5,"29"
15,0.4473684210526316,"30"
15,0.9736842105263157,"J E T B L U E  S O C I A L  I M P A C T  R E P O R T. 2 0 1 8  +  2 0 1 9"
15,0.026315789473684213,""
15,0.2368421052631579,""
15,1.0,""
15,0.34210526315789475,""
15,0.34210526315789475,""
15,0.34210526315789475,""
15,0.34210526315789475,""
15,0.34210526315789475,""
